Unnamed: 0,#,player name,age,ba,class,pos,g,ab,r,h,2b,3b,hr,rbi,sb,cs,bb,so,hbp,sh,sf,iw,gdp,tb,pa,xbh,1b,avg,obp,slg,ops,seca,iso,babip,bb%,so%,so/bb,ab/hr,hilvl,mlb years,stat years,draft info,Year
,1,Kyle Kasser,22,L,Sr,ss,55,216,33,60,7,1,0,12,10,3,26,19,10,2,0,0,6,69,254,8,52,.278,.381,.319,.700,.194,.042,.305,10.24,7.48,0.73,--,AAA,--,2015-2023,2018- 30- 902-KCA,2018
,5,Jonny DeLuca,19,R,Fr,cf,55,203,24,43,5,0,6,32,6,4,18,28,1,7,8,0,0,66,237,11,32,.212,.270,.325,.595,.212,.113,.209,7.59,11.81,1.56,33.83,MLB,2023-2024,2018-2024,2019- 25- 761-LAN,2018
,12,Gabe Matthews,20,L,So,1b,55,196,23,52,13,1,4,27,3,2,28,65,10,0,2,0,4,79,236,18,34,.265,.381,.403,.784,.286,.138,.372,11.86,27.54,2.32,49.00,AAA,--,2017-2023,2021- UDFA-ANA,2018
,23,Jakob Goldfarb,22,L,Rs-Jr,c,53,195,35,60,13,2,6,29,14,4,24,45,7,2,3,0,0,95,231,21,39,.308,.397,.487,.885,.354,.179,.367,10.39,19.48,1.88,32.50,A,--,2015-2023,2019- 24- 710-CHA,2018
,7,Spencer Steer,20,R,So,3b,53,189,30,52,11,1,4,37,4,3,24,31,12,2,6,0,2,77,233,16,36,.275,.381,.407,.788,.265,.132,.300,10.30,13.30,1.29,47.25,MLB,2022-2024,2017-2024,2019- 3- 90-MIN,2018
,9,Ray Soderman,21,R,Jr,c,49,160,12,36,6,0,1,17,1,1,4,45,4,1,1,0,4,45,170,7,29,.225,.260,.281,.542,.081,.056,.304,2.35,26.47,11.25,160.00,Rk,--,2017-2019,2018- 22- 652-ATL,2018
,29,Ryne Nelson,20,R,So,p,50,152,19,26,5,0,0,7,4,5,20,50,8,5,0,0,1,31,185,5,21,.171,.300,.204,.504,.158,.033,.255,10.81,27.03,2.50,--,MLB,2022-2024,2017-2024,2019- 2- 56-ARI,2018
,46,Taylor Travess,22,L,Sr,if,51,117,14,27,4,1,0,11,6,0,19,30,0,4,3,0,0,33,143,5,22,.231,.331,.282,.613,.265,.051,.300,13.29,20.98,1.58,--,College,--,2017-2018,--,2018
,21,Kenyon Yovan,20,R,So,p,38,116,13,27,6,0,3,12,0,1,13,36,3,0,2,0,2,42,134,9,18,.233,.321,.362,.683,.233,.129,.304,9.70,26.87,2.77,38.67,AAA,--,2017-2024,2019- 27- 811-ANA,2018
,6,Daniel Patzlaff,0,B,Sr,if,44,97,12,19,4,0,1,13,1,0,17,28,5,0,1,0,0,26,120,5,14,.196,.342,.268,.610,.258,.072,.261,14.17,23.33,1.65,97.00,College,--,2015-2018,--,2018
