Unnamed: 0,#,player name,age,throws,class,role,w,l,g,gs,cg,sh,gr,gf,sv,ip,h,r,er,hr,bb,so,wp,bk,hb,era,whip,h9,hr9,bb9,so9,ra9,so/bb,hilvl,mlb years,stat years,draft info,Year
,47,Alex Keudell,20,R,So,Rel/St,5,6,23,11,0,0,12,0,0,78.1,91,49,36,5,25,78,8,4,11,4.14,1.48,10.46,0.57,2.87,8.96,5.63,3.12,A+,--,2009-2014,2012- 27- 842-TBA,2010
,2,Scott McGough,20,R,So,Rel/St,5,2,25,2,0,0,23,0,4,58.2,59,22,16,3,14,56,4,2,9,2.45,1.24,9.05,0.46,2.15,8.59,3.37,4.00,MLB,2015-2024,2009-2024,2011- 5- 164-LAN,2010
,41,Madison Boer,20,R,So,Rel/St,3,1,23,4,0,0,19,0,5,51.2,51,15,14,1,9,48,1,0,1,2.44,1.16,8.88,0.17,1.57,8.36,2.61,5.33,AA,--,2009-2016,2011- 2- 87-MIN,2010
,40,Joey Housey,20,R,So,Rel/St,3,2,23,3,0,0,20,0,1,28.2,24,8,6,2,4,28,4,0,3,1.88,0.98,7.53,0.63,1.26,8.79,2.51,7.00,A+,--,2009-2014,2012- 27- 832-CIN,2010
,21,Christian Jones,19,L,Fr,Rel/St,2,2,20,1,0,0,19,0,0,26.2,25,16,11,1,12,21,2,0,5,3.71,1.39,8.44,0.34,4.05,7.09,5.40,1.75,AA,--,2010-2017,2013- 18- 552-SFN,2010
,22,Drew Gagnier,21,R,Jr,Reliever,0,2,23,0,0,0,23,0,4,22.2,20,10,8,1,12,25,6,0,3,3.18,1.41,7.94,0.40,4.76,9.93,3.97,2.08,A+,--,2007-2013,2010- 17- 523-DET,2010
,45,Ryan Fleckenstein,24,L,Sr,Reliever,0,1,8,0,0,0,8,0,0,5.2,5,3,3,0,1,2,1,0,0,4.76,1.06,7.94,0.00,1.59,3.18,4.76,2.00,Rk,--,2009-2011,--,2010
,26,Kellen Moen,22,R,Jr,Reliever,0,0,3,0,0,0,3,0,0,5.1,4,1,1,0,2,6,1,1,0,1.69,1.13,6.75,0.00,3.38,10.13,1.69,3.00,A+,--,2010-2014,2011- 7- 216-KCA,2010
,46,Ryan Hambright,19,R,Fr,Reliever,0,0,4,0,0,0,4,0,0,3.2,9,9,7,1,1,2,1,0,3,17.18,2.73,22.09,2.45,2.45,4.91,22.09,2.00,College,--,2010-2013,--,2010
,55,Geoff Nichols,23,R,Sr,Reliever,0,0,1,0,0,0,1,0,0,1.2,0,0,0,0,1,1,0,0,0,0.00,0.60,0.00,0.00,5.40,5.40,0.00,1.00,College,--,2006-2010,--,2010
,--,Ian Hoff,0,R,Jr,,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,College,--,2010-2012,--,2010
,--,Totals,--,--,--,--,40,24,202,64,2,1,138,0,14,564.1,549,253,206,40,151,513,43,11,65,3.29,1.24,8.76,0.64,2.41,8.18,4.03,3.40,--,--,--,0,2010
,#,player name,age,throws,class,role,w,l,g,gs,cg,sh,gr,gf,sv,ip,h,r,er,hr,bb,so,wp,bk,hb,era,whip,h9,hr9,bb9,so9,ra9,so/bb,hilvl,mlb years,stat years,draft info,2011
,13,Tyler Anderson,21,L,Jr,Starter,8,3,15,15,1,0,0,0,0,107.2,75,33,28,2,35,114,8,1,7,2.34,1.02,6.27,0.17,2.93,9.53,2.76,3.26,MLB,2016-2024,2009-2024,2011- 1- 20-COL,2011
,41,Madison Boer,21,R,Jr,St/Rel,3,6,18,12,1,0,6,0,3,99.0,81,27,25,2,35,74,5,0,4,2.27,1.17,7.36,0.18,3.18,6.73,2.45,2.11,AA,--,2009-2016,2011- 2- 87-MIN,2011
,47,Alex Keudell,21,R,Jr,Starter,7,3,17,14,1,0,3,0,0,90.1,86,31,29,2,24,71,1,4,3,2.89,1.22,8.57,0.20,2.39,7.07,3.09,2.96,A+,--,2009-2014,2012- 27- 842-TBA,2011
,21,Christian Jones,20,L,So,St/Rel,7,2,16,12,0,0,4,0,0,77.2,69,34,28,2,34,73,4,0,8,3.24,1.33,8.00,0.23,3.94,8.46,3.94,2.15,AA,--,2010-2017,2013- 18- 552-SFN,2011
,10,Scott McGough,21,R,Jr,Reliever,3,6,31,0,0,0,31,0,5,57.2,52,28,23,0,25,62,3,0,7,3.59,1.34,8.12,0.00,3.90,9.68,4.37,2.48,MLB,2015-2024,2009-2024,2011- 5- 164-LAN,2011
,26,Kellen Moen,23,R,Sr,Closer,1,4,28,0,0,0,28,0,8,41.1,27,18,14,1,16,43,9,3,2,3.05,1.04,5.88,0.22,3.48,9.36,3.92,2.69,A+,--,2010-2014,2011- 7- 216-KCA,2011
,40,Joey Housey,21,R,Jr,Reliever,2,0,12,0,0,0,12,0,0,17.1,15,9,6,1,6,22,4,0,3,3.12,1.21,7.79,0.52,3.12,11.42,4.67,3.67,A+,--,2009-2014,2012- 27- 832-CIN,2011
,3,Brando Tessar,20,R,Fr,Rel/St,1,1,13,1,0,0,12,0,0,17.1,18,6,4,0,10,10,4,0,1,2.08,1.62,9.35,0.00,5.19,5.19,3.12,1.00,College,--,2011-2014,2014- 25- 750-ARI,2011
,27,Porter Clayton,18,L,--,Rel/St,0,1,22,3,0,0,19,0,1,16.2,19,13,11,0,14,9,4,0,2,5.94,1.98,10.26,0.00,7.56,4.86,7.02,0.64,A,--,2011-2017,2015- 19- 568-TBA,2011
,44,Jeff Gold,0,R,Fr,Rel/St,1,0,6,1,0,0,5,0,0,10.2,10,4,4,1,1,14,0,0,1,3.37,1.03,8.44,0.84,0.84,11.81,3.37,14.00,College,--,2011-2014,--,2011
,25,Ryon Healy,19,R,Fr,St/Rel,0,0,3,2,0,0,1,0,0,8.2,9,4,4,1,2,8,0,0,0,4.15,1.27,9.35,1.04,2.08,8.31,4.15,4.00,MLB,2016-2020,2011-2020,2013- 3- 100-OAK,2011
,30,James Sherfy,19,R,Fr,Reliever,0,0,2,0,0,0,2,0,0,1.1,8,7,5,1,0,0,0,0,0,33.75,6.00,54.00,6.75,0.00,0.00,47.25,--,MLB,2017-2021,2011-2022,2013- 10- 300-ARI,2011
,--,Brandon Brennan,19,R,Rs,,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,MLB,2019-2021,2011-2023,2012- 4- 141-CHA,2011
,--,Totals,--,--,--,--,33,26,183,60,3,0,123,0,17,545.2,469,214,181,13,202,500,42,8,38,2.99,1.23,7.74,0.21,3.33,8.25,3.53,2.48,--,--,--,0,2011
